header.stamp.sec,header.stamp.nanosec,time,header.frame_id,velocity
0,0,1675407619.527107,,5357.0
0,0,1675407619.53703,,5354.0
0,0,1675407619.5461814,,5344.0
0,0,1675407619.5563831,,5330.0
0,0,1675407619.7472951,,5074.0
0,0,1675407619.759722,,5073.0
0,0,1675407619.7703776,,5068.0
0,0,1675407620.017025,,4616.0
0,0,1675407620.0262666,,4607.0
0,0,1675407620.0364733,,4602.0
0,0,1675407620.047083,,4593.0
0,0,1675407620.2671313,,4029.0
0,0,1675407620.2863002,,3985.0
0,0,1675407620.296199,,3964.0
0,0,1675407620.3070924,,3937.0
0,0,1675407620.5269873,,3191.0
0,0,1675407620.5465765,,3139.0
0,0,1675407620.5575025,,3108.0
0,0,1675407620.750319,,2399.0
0,0,1675407620.770027,,2341.0
0,0,1675407620.7803462,,2312.0
0,0,1675407621.0268188,,1301.0
0,0,1675407621.036863,,1274.0
0,0,1675407621.0457315,,1249.0
0,0,1675407621.0558696,,1221.0
0,0,1675407621.2668498,,355.0
0,0,1675407621.2767642,,329.0
0,0,1675407621.2857628,,304.0
0,0,1675407621.3068292,,237.0
0,0,1675407621.5169063,,-677.0
0,0,1675407621.5276532,,-710.0
0,0,1675407621.5367994,,-745.0
0,0,1675407621.546874,,-781.0
0,0,1675407621.5578487,,-819.0
0,0,1675407621.7504997,,-1662.0
0,0,1675407621.7608156,,-1703.0
0,0,1675407621.7705345,,-1736.0
0,0,1675407622.0168333,,-2737.0
0,0,1675407622.026806,,-2758.0
0,0,1675407622.0448205,,-2805.0
0,0,1675407622.2659156,,-3606.0
0,0,1675407622.2850578,,-3648.0
0,0,1675407622.296104,,-3675.0
0,0,1675407622.5178032,,-4370.0
0,0,1675407622.5300004,,-4391.0
0,0,1675407622.5378067,,-4408.0
0,0,1675407622.5470617,,-4426.0
0,0,1675407622.7601879,,-4947.0
0,0,1675407622.7778404,,-4970.0
0,0,1675407623.0170133,,-5294.0
0,0,1675407623.025922,,-5294.0
0,0,1675407623.035834,,-5294.0
0,0,1675407623.0458155,,-5295.0
0,0,1675407623.2670507,,-5419.0
0,0,1675407623.2859652,,-5419.0
0,0,1675407623.306907,,-5419.0
0,0,1675407623.5271854,,-5362.0
0,0,1675407623.537188,,-5362.0
0,0,1675407623.546159,,-5359.0
0,0,1675407623.558118,,-5352.0
0,0,1675407623.752981,,-5057.0
0,0,1675407623.7718859,,-5055.0
