header.stamp.sec,header.stamp.nanosec,Time,header.frame_id,velocity
0,0,1675815960.471512,,-8421.0
0,0,1675815960.4808028,,-8498.0
0,0,1675815960.4901023,,-8588.0
0,0,1675815960.4990032,,-8665.0
0,0,1675815960.5100815,,-8749.0
0,0,1675815960.7304459,,-9905.0
0,0,1675815960.7390862,,-9952.0
0,0,1675815960.7498608,,-10003.0
0,0,1675815960.9599285,,-10245.0
0,0,1675815960.9685957,,-10244.0
0,0,1675815960.983451,,-10242.0
0,0,1675815961.0025005,,-10235.0
0,0,1675815961.2305167,,-9352.0
0,0,1675815961.240385,,-9297.0
0,0,1675815961.2504187,,-9256.0
0,0,1675815961.2592742,,-9209.0
0,0,1675815961.4715152,,-7441.0
0,0,1675815961.4803724,,-7343.0
0,0,1675815961.4904685,,-7221.0
0,0,1675815961.4993446,,-7120.0
0,0,1675815961.5103552,,-7009.0
0,0,1675815961.7197332,,-4509.0
0,0,1675815961.7295923,,-4359.0
0,0,1675815961.7487488,,-4090.0
0,0,1675815961.9592807,,-1643.0
0,0,1675815961.991298,,-1324.0
0,0,1675815962.0003614,,-1232.0
0,0,1675815962.2206056,,337.0
0,0,1675815962.2303936,,389.0
0,0,1675815962.2494676,,518.0
0,0,1675815962.4704678,,1103.0
0,0,1675815962.480492,,1105.0
0,0,1675815962.4904428,,1106.0
0,0,1675815962.5003295,,1107.0
0,0,1675815962.7204685,,767.0
0,0,1675815962.7304063,,723.0
0,0,1675815962.7503707,,633.0
0,0,1675815962.760332,,585.0
0,0,1675815962.958458,,-665.0
0,0,1675815962.982383,,-802.0
0,0,1675815962.99148,,-854.0
0,0,1675815963.0034528,,-911.0
0,0,1675815963.2204955,,-1627.0
0,0,1675815963.2393372,,-1646.0
0,0,1675815963.2489083,,-1656.0
0,0,1675815963.2592804,,-1670.0
0,0,1675815963.4704993,,-2392.0
0,0,1675815963.489416,,-2493.0
0,0,1675815963.4989123,,-2552.0
0,0,1675815963.5094242,,-2616.0
0,0,1675815963.72039,,-4273.0
0,0,1675815963.7286448,,-4359.0
0,0,1675815963.7474256,,-4543.0
0,0,1675815963.7592182,,-4649.0
0,0,1675815963.9591875,,-6444.0
0,0,1675815963.9833877,,-6577.0
0,0,1675815964.0034614,,-6646.0
0,0,1675815964.2195358,,-7527.0
0,0,1675815964.2287233,,-7550.0
0,0,1675815964.2489076,,-7587.0
0,0,1675815964.258578,,-7605.0
0,0,1675815964.471456,,-8473.0
0,0,1675815964.490422,,-8585.0
0,0,1675815964.4986768,,-8640.0
0,0,1675815964.5093307,,-8704.0
0,0,1675815964.7193985,,-10524.0
0,0,1675815964.7303395,,-10603.0
0,0,1675815964.73933,,-10675.0
0,0,1675815964.750458,,-10747.0
0,0,1675815964.7603257,,-10804.0
0,0,1675815964.95839,,-12004.0
0,0,1675815964.9673672,,-12038.0
0,0,1675815964.9815102,,-12094.0
0,0,1675815964.9913456,,-12127.0
0,0,1675815965.0014637,,-12164.0
0,0,1675815965.2203784,,-12507.0
0,0,1675815965.2303636,,-12507.0
0,0,1675815965.2493942,,-12507.0
0,0,1675815965.470464,,-12084.0
0,0,1675815965.479308,,-12034.0
0,0,1675815965.4903686,,-11983.0
0,0,1675815965.4993072,,-11935.0
0,0,1675815965.5103552,,-11889.0
0,0,1675815965.720792,,-10390.0
0,0,1675815965.7294583,,-10304.0
0,0,1675815965.7494326,,-10122.0
0,0,1675815965.9588704,,-8165.0
0,0,1675815965.9674354,,-8080.0
0,0,1675815965.9823878,,-7935.0
0,0,1675815966.00047,,-7772.0
0,0,1675815966.2287812,,-6598.0
0,0,1675815966.2387748,,-6559.0
0,0,1675815966.2493923,,-6520.0
0,0,1675815966.470502,,-5324.0
0,0,1675815966.4886708,,-5187.0
0,0,1675815966.5104249,,-5029.0
0,0,1675815966.7205098,,-3479.0
0,0,1675815966.728772,,-3442.0
0,0,1675815966.7386334,,-3400.0
0,0,1675815966.7489119,,-3356.0
0,0,1675815966.758744,,-3311.0
0,0,1675815966.9587774,,-2678.0
0,0,1675815966.98051,,-2664.0
0,0,1675815966.9887826,,-2654.0
0,0,1675815966.9986556,,-2645.0
0,0,1675815967.2207754,,-2629.0
0,0,1675815967.230505,,-2629.0
0,0,1675815967.2495012,,-2629.0
0,0,1675815967.4716918,,-2630.0
0,0,1675815967.4804482,,-2630.0
0,0,1675815967.4904335,,-2630.0
0,0,1675815967.5103843,,-2631.0
0,0,1675815967.729487,,-2633.0
0,0,1675815967.7393754,,-2633.0
0,0,1675815967.748908,,-2633.0
0,0,1675815967.759318,,-2633.0
0,0,1675815967.9585388,,-2639.0
0,0,1675815967.9664323,,-2639.0
0,0,1675815967.981561,,-2639.0
0,0,1675815967.9914298,,-2639.0
0,0,1675815968.0004637,,-2639.0
0,0,1675815968.2196937,,-2639.0
0,0,1675815968.2496066,,-2639.0
0,0,1675815968.259329,,-2641.0
0,0,1675815968.4704757,,-3094.0
0,0,1675815968.478687,,-3130.0
0,0,1675815968.4887645,,-3173.0
0,0,1675815968.4975328,,-3218.0
0,0,1675815968.508449,,-3274.0
0,0,1675815968.7204819,,-4772.0
0,0,1675815968.7304013,,-4839.0
0,0,1675815968.7494664,,-5010.0
0,0,1675815968.9584966,,-7392.0
0,0,1675815968.96743,,-7493.0
0,0,1675815968.9824185,,-7622.0
0,0,1675815969.000466,,-7774.0
0,0,1675815969.2194035,,-9691.0
0,0,1675815969.2287958,,-9757.0
0,0,1675815969.2483745,,-9879.0
0,0,1675815969.4713602,,-10632.0
0,0,1675815969.4886441,,-10674.0
0,0,1675815969.4986875,,-10695.0
0,0,1675815969.5104249,,-10712.0
0,0,1675815969.729328,,-10601.0
0,0,1675815969.748733,,-10553.0
0,0,1675815969.9584978,,-9430.0
0,0,1675815969.9674342,,-9363.0
0,0,1675815969.9815094,,-9267.0
0,0,1675815969.9914076,,-9204.0
0,0,1675815970.0004673,,-9124.0
