steering_angle,adc_0,adc_1,time
-0.7,2285,2772,1675148563.7616744
-0.7,2286,2773,1675148563.9624321
-0.7,2288,2773,1675148564.0624967
-0.7,2286,2770,1675148564.1617198
-0.7,2286,2771,1675148564.262499
-0.7,2290,2776,1675148564.3124583
-0.7,2287,2772,1675148564.3622797
-0.7,2287,2771,1675148564.462615
-0.7,2286,2770,1675148564.5622962
-0.7,2288,2773,1675148564.6123536
-0.7,2287,2772,1675148564.662353
-0.7,2287,2773,1675148564.7623787
-0.7,2286,2770,1675148564.8625028
-0.7,2286,2772,1675148564.962666
-0.7,2288,2775,1675148565.0119567
-0.7,2286,2773,1675148565.0623872
-0.7,2286,2770,1675148565.2626004
-0.7,2286,2773,1675148565.3625731
-0.7,2288,2775,1675148565.4634001
-0.7,2286,2771,1675148565.5626698
-0.7,2286,2772,1675148565.6624634
-0.7,2287,2773,1675148565.7631922
-0.7,2287,2775,1675148565.8623388
-0.7,2286,2772,1675148565.912509
-0.7,2287,2772,1675148565.9623501
-0.7,2287,2772,1675148566.0124695
-0.7,2287,2773,1675148566.06221
-0.7,2288,2775,1675148566.1624432
-0.7,2288,2773,1675148566.26226
-0.7,2286,2771,1675148566.3123019
-0.7,2287,2772,1675148566.3626716
-0.7,2287,2775,1675148566.4624476
-0.7,2290,2776,1675148566.5624318
-0.7,2287,2772,1675148566.662614
-0.7,2286,2773,1675148566.7633872
-0.6,2287,2776,1675148566.861871
-0.6,2288,2776,1675148566.962446
-0.4,2282,2776,1675148567.0623024
-0.4,2285,2776,1675148567.1623714
-0.3,2282,2778,1675148567.2622955
-0.2,2283,2778,1675148567.3632367
-0.2,2282,2776,1675148567.6123931
-0.2,2283,2780,1675148567.663087
-0.2,2280,2775,1675148567.71233
-0.2,2282,2778,1675148567.8622348
-0.2,2282,2778,1675148567.9632437
-0.2,2282,2777,1675148568.1632867
-0.2,2282,2780,1675148568.2622437
-0.2,2283,2781,1675148568.3632278
-0.2,2282,2777,1675148568.4625566
-0.2,2282,2778,1675148568.5634255
-0.2,2282,2778,1675148568.6634116
-0.2,2281,2777,1675148568.763337
-0.2,2282,2777,1675148568.8632417
-0.2,2281,2777,1675148568.9124873
-0.2,2282,2778,1675148568.962741
-0.2,2282,2777,1675148569.2634463
-0.2,2281,2778,1675148569.363257
-0.2,2283,2780,1675148569.4631796
-0.2,2282,2777,1675148569.5632496
-0.2,2282,2777,1675148569.7632773
-0.2,2282,2778,1675148569.8632026
-0.2,2278,2775,1675148569.9631932
-0.2,2281,2776,1675148570.013133
-0.2,2281,2776,1675148570.163197
-0.2,2282,2777,1675148570.2631733
-0.2,2280,2776,1675148570.3132198
-0.2,2280,2776,1675148570.4631848
-0.2,2282,2778,1675148570.5134537
-0.2,2281,2776,1675148570.5631506
-0.2,2281,2776,1675148570.613117
-0.2,2282,2777,1675148570.6631787
-0.2,2280,2776,1675148570.7131193
-0.1,2276,2778,1675148570.7632089
1.5,2235,2822,1675148570.86316
3.4,2201,2860,1675148570.9132483
6.4,2155,2900,1675148570.9632437
26.9,1896,3152,1675148571.1632254
32.2,1867,3200,1675148571.2132154
36.2,1836,3225,1675148571.2632556
41.0,1805,3258,1675148571.3632553
42.2,1801,3260,1675148571.4133928
42.8,1800,3258,1675148571.463364
42.9,1800,3257,1675148571.5633113
42.9,1803,3261,1675148571.6132362
42.9,1802,3260,1675148571.6634827
45.9,1733,3326,1675148571.913394
48.5,1711,3342,1675148571.9633276
52.3,1682,3372,1675148572.0633547
53.6,1691,3360,1675148572.263314
52.3,1698,3353,1675148572.3632984
52.1,1700,3355,1675148572.4630685
52.4,1690,3363,1675148572.5631814
52.9,1690,3362,1675148572.6632924
52.9,1686,3370,1675148572.763305
54.1,1672,3382,1675148572.8633728
54.6,1671,3380,1675148572.9633086
54.6,1671,3381,1675148573.0632029
54.5,1673,3382,1675148573.2634356
54.5,1672,3381,1675148573.3633034
54.5,1672,3382,1675148573.5632806
54.5,1673,3382,1675148573.6632059
54.5,1671,3381,1675148573.7633197
54.5,1673,3382,1675148573.8134367
54.5,1672,3381,1675148573.863481
54.5,1675,3383,1675148573.9134398
54.5,1673,3382,1675148573.9634795
54.2,1680,3375,1675148574.063522
53.8,1680,3373,1675148574.1634524
53.8,1680,3376,1675148574.2133045
53.8,1681,3375,1675148574.4131317
53.8,1681,3373,1675148574.463273
53.6,1685,3367,1675148574.563402
53.3,1685,3368,1675148574.6632485
53.3,1686,3370,1675148574.763367
53.3,1685,3368,1675148574.963199
53.2,1685,3370,1675148575.0631866
53.2,1686,3367,1675148575.3634937
