steering_angle,adc_0,adc_1,time
-0.2,2281,2773,1675127539.69477
-0.2,2282,2772,1675127539.7452724
-0.2,2281,2771,1675127539.7953296
-0.2,2280,2770,1675127539.8453064
-0.2,2282,2771,1675127539.895457
-0.2,2281,2770,1675127539.9452593
-0.3,2283,2775,1675127540.045083
-0.2,2280,2772,1675127540.0949123
-0.2,2281,2771,1675127540.145327
-0.2,2281,2771,1675127540.1953673
-0.2,2281,2772,1675127540.295523
-0.2,2282,2773,1675127540.3453338
-0.1,2282,2773,1675127540.3954287
-0.1,2281,2771,1675127540.4453444
-0.2,2282,2772,1675127540.5454946
-0.2,2283,2773,1675127540.59554
-0.2,2280,2770,1675127540.6454673
-0.2,2283,2772,1675127540.6954842
-0.2,2281,2771,1675127540.7956505
-0.2,2283,2773,1675127540.844752
-0.2,2282,2772,1675127540.894816
-0.2,2282,2771,1675127540.9453845
-0.2,2282,2773,1675127541.0451965
-0.2,2280,2772,1675127541.0952713
-0.1,2283,2773,1675127541.145296
-0.1,2283,2773,1675127541.1955285
-0.1,2280,2771,1675127541.245695
-0.1,2282,2772,1675127541.2955334
-0.1,2280,2772,1675127541.3454049
-0.2,2282,2775,1675127541.3954933
-0.2,2280,2771,1675127541.445596
-0.2,2280,2772,1675127541.5455103
-0.2,2280,2770,1675127541.5954957
-0.2,2281,2773,1675127541.6455219
-0.2,2281,2772,1675127541.6954365
-0.2,2280,2771,1675127541.7954335
-0.2,2281,2773,1675127541.8454485
-0.1,2281,2771,1675127541.8953464
-0.1,2282,2775,1675127541.94534
-0.1,2280,2772,1675127542.0449846
-0.1,2280,2772,1675127542.0954783
-0.1,2280,2771,1675127542.1455789
-0.1,2282,2775,1675127542.1954224
-0.2,2282,2773,1675127542.2956333
-0.2,2280,2771,1675127542.3455265
-0.1,2278,2770,1675127542.3954594
-0.1,2281,2773,1675127542.4453866
-0.2,2281,2771,1675127542.5455246
-0.2,2281,2771,1675127542.5955563
-0.2,2281,2773,1675127542.6455522
-0.2,2281,2771,1675127542.6956618
-0.2,2283,2775,1675127542.7455823
-0.2,2281,2773,1675127542.7955813
-0.2,2280,2772,1675127542.8454869
-0.1,2280,2772,1675127542.8955245
-0.1,2280,2772,1675127542.9451494
-0.1,2281,2775,1675127542.9953072
-0.1,2280,2771,1675127543.0452595
-0.1,2285,2775,1675127543.0952792
-0.1,2280,2771,1675127543.1451535
-0.1,2278,2770,1675127543.1953065
-0.2,2281,2773,1675127543.2954376
-0.2,2282,2771,1675127543.3456192
-0.2,2281,2772,1675127543.3955986
-0.2,2282,2772,1675127543.4454603
-0.2,2285,2776,1675127543.5456135
-0.2,2281,2775,1675127543.595512
-0.1,2280,2772,1675127543.645542
-0.1,2280,2771,1675127543.6956265
-0.1,2281,2772,1675127543.7454562
-0.1,2281,2772,1675127543.845412
-0.1,2283,2776,1675127543.8955545
-0.1,2281,2771,1675127543.9455247
-0.1,2281,2773,1675127544.0451741
-0.1,2280,2772,1675127544.09523
-0.1,2278,2770,1675127544.1452084
-0.1,2282,2775,1675127544.1954458
-0.1,2280,2772,1675127544.245464
-0.1,2277,2772,1675127544.295621
0.0,2267,2791,1675127544.345544
1.0,2242,2812,1675127544.3956373
2.8,2212,2843,1675127544.4453714
9.1,2117,2937,1675127544.545486
13.6,2046,2996,1675127544.5954537
19.7,1963,3085,1675127544.645524
26.5,1876,3177,1675127544.6956472
34.3,1791,3262,1675127544.7456644
42.7,1686,3367,1675127544.795675
50.5,1606,3448,1675127544.8454573
58.9,1530,3525,1675127544.895447
65.3,1470,3581,1675127544.9454372
71.2,1422,3628,1675127544.99543
75.6,1388,3665,1675127545.0448635
79.2,1356,3700,1675127545.0948603
82.1,1335,3720,1675127545.1453865
84.4,1323,3731,1675127545.1954215
85.6,1317,3733,1675127545.245661
86.2,1317,3732,1675127545.2952511
86.4,1317,3737,1675127545.3450842
86.4,1317,3735,1675127545.39553
86.4,1318,3736,1675127545.445514
85.0,1380,3671,1675127545.5454814
81.4,1448,3603,1675127545.5955722
76.1,1522,3531,1675127545.6455348
69.7,1582,3473,1675127545.6954815
64.4,1622,3430,1675127545.745549
