steering_angle,adc_0,adc_1,time
-0.1,2285,2727,1675405000.953839
-0.1,2281,2723,1675405001.0043876
-0.1,2277,2721,1675405001.0543473
0.0,2277,2720,1675405001.1043916
-0.1,2281,2727,1675405001.1543553
-0.1,2276,2721,1675405001.2043571
-0.1,2285,2727,1675405001.254304
-0.1,2285,2726,1675405001.304338
-0.1,2281,2725,1675405001.354295
-0.1,2278,2722,1675405001.404401
-0.1,2285,2732,1675405001.4539037
-0.1,2277,2720,1675405001.5040941
-0.1,2276,2718,1675405001.5540807
-0.1,2281,2727,1675405001.6044323
-0.1,2278,2720,1675405001.6543372
-0.1,2282,2727,1675405001.7044826
-0.1,2280,2723,1675405001.7543912
-0.1,2286,2730,1675405001.80439
-0.1,2280,2721,1675405001.8543363
-0.1,2286,2731,1675405001.9043477
-0.1,2280,2723,1675405001.954368
-0.1,2276,2720,1675405002.004599
0.0,2277,2721,1675405002.0544126
0.0,2278,2721,1675405002.1044834
-0.1,2278,2721,1675405002.1540039
-0.1,2278,2721,1675405002.20381
-0.1,2285,2730,1675405002.2537873
-0.1,2281,2726,1675405002.303819
-0.1,2280,2726,1675405002.3537858
0.0,2277,2722,1675405002.403778
-0.1,2283,2728,1675405002.4537268
-0.1,2280,2721,1675405002.5081656
-0.1,2283,2723,1675405002.5537412
-0.1,2283,2728,1675405002.6036925
-0.1,2276,2717,1675405002.6536932
-0.1,2281,2723,1675405002.703725
-0.1,2282,2728,1675405002.7542806
-0.1,2286,2732,1675405002.8042994
-0.1,2277,2717,1675405002.8542635
-0.1,2281,2725,1675405002.9043937
-0.1,2277,2718,1675405003.0044014
0.0,2281,2723,1675405003.054294
-0.1,2286,2722,1675405003.1043026
-0.4,2293,2703,1675405003.1543787
-1.6,2322,2670,1675405003.2037935
-3.5,2350,2655,1675405003.254306
-5.8,2373,2617,1675405003.3043103
-8.7,2428,2560,1675405003.3542733
-12.6,2476,2521,1675405003.4043102
-16.9,2528,2462,1675405003.45436
-21.8,2583,2406,1675405003.5041397
-26.3,2638,2370,1675405003.5537236
-31.0,2687,2316,1675405003.6037965
-35.1,2722,2281,1675405003.6542978
-39.3,2763,2230,1675405003.7042792
-42.7,2807,2200,1675405003.754355
-46.6,2847,2143,1675405003.8043008
-50.2,2888,2112,1675405003.8542519
-53.8,2921,2077,1675405003.9042988
-56.9,2951,2046,1675405003.9543316
-59.4,2972,2025,1675405004.0042427
-62.1,3022,1990,1675405004.0542424
-65.0,3040,1948,1675405004.1042352
-67.7,3063,1931,1675405004.1543493
-70.1,3080,1907,1675405004.2043798
-71.8,3098,1905,1675405004.2544513
-73.3,3111,1876,1675405004.3043368
-74.6,3130,1881,1675405004.354349
-75.8,3137,1866,1675405004.404316
-76.7,3131,1860,1675405004.5043817
-76.8,3128,1862,1675405004.5544434
-76.8,3137,1863,1675405004.6043463
-76.8,3135,1861,1675405004.6545424
-76.8,3138,1863,1675405004.704603
-76.8,3128,1860,1675405004.7545228
-76.8,3126,1858,1675405004.8044345
-76.8,3132,1861,1675405004.853886
-76.8,3130,1861,1675405004.9045343
-76.8,3130,1857,1675405004.9543188
-76.9,3137,1860,1675405005.0043364
-76.6,3111,1878,1675405005.0543952
-75.4,3090,1901,1675405005.1043315
-73.6,3072,1928,1675405005.1544175
-71.3,3033,1953,1675405005.204445
-69.1,3017,1966,1675405005.2544177
-66.9,2987,1998,1675405005.3043404
-64.8,2957,2032,1675405005.3543327
-62.3,2937,2063,1675405005.4043555
-57.0,2888,2115,1675405005.5044413
-54.8,2847,2142,1675405005.5537546
-52.0,2806,2183,1675405005.6037316
-48.8,2777,2237,1675405005.6544154
-45.2,2730,2262,1675405005.7044504
-41.7,2707,2296,1675405005.754587
-38.9,2658,2340,1675405005.804502
-34.8,2602,2402,1675405005.854546
-30.0,2552,2441,1675405005.90468
-26.1,2535,2473,1675405005.953762
-22.7,2495,2508,1675405006.0037172
-19.8,2447,2547,1675405006.0537236
-15.9,2392,2606,1675405006.1037076
-11.6,2346,2662,1675405006.1537359
-6.7,2296,2708,1675405006.2037005
-3.0,2267,2727,1675405006.2537966
0.2,2230,2780,1675405006.3037648
3.7,2163,2832,1675405006.3538108
8.5,2131,2878,1675405006.4037144
15.8,2061,2958,1675405006.5046504
19.3,2005,2990,1675405006.5544546
23.6,1947,3046,1675405006.60441
28.5,1885,3116,1675405006.6544325
33.8,1842,3162,1675405006.7043552
37.8,1816,3183,1675405006.7544615
40.7,1781,3232,1675405006.80437
44.5,1716,3283,1675405006.8544168
49.0,1678,3316,1675405006.9043663
52.8,1653,3355,1675405006.954366
56.0,1608,3396,1675405007.0043957
59.1,1572,3422,1675405007.0544167
62.7,1532,3467,1675405007.1043878
65.8,1502,3501,1675405007.15439
68.9,1475,3521,1675405007.2043977
71.6,1453,3558,1675405007.2544165
74.0,1420,3591,1675405007.3043704
76.5,1395,3616,1675405007.3544533
79.0,1381,3617,1675405007.404439
80.3,1377,3645,1675405007.454401
81.2,1360,3637,1675405007.5043128
82.1,1357,3646,1675405007.554449
