steering_angle,adc_0,adc_1,Time
54.2,1696,3312,1675668069.314733
52.9,1713,3281,1675668069.3646047
51.3,1725,3262,1675668069.4148314
48.7,1753,3250,1675668069.5146735
47.4,1771,3222,1675668069.5648217
45.8,1796,3200,1675668069.6148114
43.8,1815,3182,1675668069.6648374
42.0,1827,3175,1675668069.7144082
40.5,1845,3153,1675668069.7646434
39.1,1873,3128,1675668069.8143895
36.9,1903,3091,1675668069.864957
34.6,1931,3072,1675668069.9149668
32.3,1946,3037,1675668069.964894
30.1,1977,3022,1675668070.0143812
27.6,2011,2996,1675668070.0647051
25.2,2035,2950,1675668070.1149023
22.5,2058,2937,1675668070.1649914
20.3,2076,2927,1675668070.2150457
18.6,2101,2917,1675668070.264957
17.0,2115,2873,1675668070.3148537
14.8,2148,2850,1675668070.3648164
12.5,2168,2831,1675668070.415033
10.3,2185,2811,1675668070.4652832
8.7,2203,2787,1675668070.514889
6.8,2230,2762,1675668070.5647886
4.5,2261,2731,1675668070.6148577
1.7,2300,2690,1675668070.6648524
-1.0,2327,2662,1675668070.7150664
-3.9,2357,2628,1675668070.7649467
-6.7,2397,2591,1675668070.8144963
-9.8,2432,2557,1675668070.8652472
-13.0,2463,2528,1675668070.9151807
-18.2,2517,2486,1675668071.0145552
-20.7,2548,2436,1675668071.065006
-23.5,2588,2417,1675668071.1149502
-26.3,2605,2393,1675668071.165969
-28.5,2622,2367,1675668071.2150912
-30.5,2643,2348,1675668071.265038
-32.5,2682,2317,1675668071.3150966
-35.1,2713,2305,1675668071.3649676
-37.5,2720,2267,1675668071.4149654
-39.5,2743,2258,1675668071.4653618
-41.1,2763,2238,1675668071.5150003
-43.1,2796,2210,1675668071.565385
-45.0,2798,2183,1675668071.614889
-47.1,2825,2161,1675668071.6649663
-48.6,2836,2161,1675668071.7155442
-49.8,2847,2141,1675668071.7651386
-51.2,2866,2113,1675668071.8145258
-53.0,2885,2097,1675668071.8644466
-54.3,2895,2093,1675668071.9150434
-55.5,2903,2082,1675668071.9652638
-56.4,2918,2063,1675668072.0150697
-57.6,2941,2055,1675668072.0650814
-58.8,2938,2046,1675668072.1150386
-59.6,2945,2042,1675668072.164947
-60.0,2946,2041,1675668072.2151222
-60.2,2955,2041,1675668072.264937
-60.5,2961,2030,1675668072.3152165
-61.1,2961,2022,1675668072.3645427
-61.6,2975,2032,1675668072.4149494
-61.6,2971,2028,1675668072.4653435
-61.6,2971,2028,1675668072.5149777
-61.6,2961,2025,1675668072.5651436
-61.8,2982,2035,1675668072.6147668
-61.8,2966,2027,1675668072.6656804
-61.8,2966,2026,1675668072.7153616
-61.8,2961,2023,1675668072.7650282
-61.8,2970,2027,1675668072.8150752
-61.8,2965,2026,1675668072.8652327
-61.8,2960,2020,1675668072.9144433
-61.8,2962,2025,1675668072.9646585
-61.8,2958,2022,1675668073.0153627
-61.8,2968,2030,1675668073.0649254
-61.4,2940,2037,1675668073.1147637
-60.5,2945,2055,1675668073.164844
-59.6,2928,2057,1675668073.215018
-58.7,2917,2065,1675668073.2649221
-57.9,2907,2086,1675668073.3149576
-56.5,2886,2111,1675668073.3648148
-54.9,2862,2120,1675668073.4150355
-53.4,2870,2138,1675668073.4650285
-52.4,2850,2151,1675668073.5149384
-51.0,2822,2176,1675668073.5649412
-49.2,2790,2197,1675668073.6149244
-46.8,2762,2222,1675668073.6649487
-44.8,2761,2246,1675668073.7160282
-43.2,2736,2252,1675668073.765069
-41.5,2710,2288,1675668073.8159888
-39.1,2676,2312,1675668073.8659265
-36.8,2662,2342,1675668073.9151096
-34.6,2633,2347,1675668073.9651911
-32.6,2612,2385,1675668074.015094
-30.1,2567,2413,1675668074.065089
-27.3,2538,2452,1675668074.1151073
-24.1,2507,2486,1675668074.1644115
-21.5,2488,2491,1675668074.215485
-19.6,2485,2521,1675668074.2648299
-18.1,2447,2540,1675668074.314978
-15.7,2413,2586,1675668074.3651712
-12.8,2380,2613,1675668074.4151633
-9.8,2363,2648,1675668074.4653811
-7.5,2336,2653,1675668074.5149758
-5.4,2300,2691,1675668074.565138
-2.9,2271,2732,1675668074.6152275
0.2,2241,2766,1675668074.6651123
2.7,2217,2776,1675668074.7161713
5.1,2178,2813,1675668074.7651412
7.8,2151,2858,1675668074.8157902
11.0,2115,2883,1675668074.8651412
13.9,2086,2903,1675668074.915074
16.4,2062,2923,1675668074.9669683
18.6,2042,2963,1675668075.0151026
21.2,2002,2992,1675668075.0649247
23.8,1976,3018,1675668075.1144378
26.6,1948,3035,1675668075.1645813
28.5,1940,3068,1675668075.2148042
30.4,1912,3076,1675668075.2647493
32.5,1880,3120,1675668075.314788
35.2,1848,3148,1675668075.3649716
37.5,1843,3172,1675668075.4151316
40.3,1811,3191,1675668075.515164
41.6,1790,3216,1675668075.5648792
43.7,1761,3232,1675668075.6151555
45.6,1753,3255,1675668075.6654077
47.0,1737,3256,1675668075.7153058
48.3,1725,3282,1675668075.765189
49.7,1695,3295,1675668075.815132
51.7,1678,3311,1675668075.8649373
53.3,1667,3320,1675668075.915177
54.5,1663,3338,1675668075.9647598
55.5,1641,3352,1675668076.0147288
56.8,1623,3366,1675668076.0647845
58.1,1622,3376,1675668076.114739
58.9,1622,3387,1675668076.1649678
59.2,1616,3378,1675668076.215015
59.3,1615,3378,1675668076.2651486
59.6,1606,3401,1675668076.3148959
60.2,1605,3407,1675668076.365117
60.8,1601,3398,1675668076.415058
60.9,1606,3402,1675668076.4654047
60.8,1607,3416,1675668076.5149932
60.8,1602,3402,1675668076.5649307
60.8,1603,3403,1675668076.6150613
60.9,1601,3393,1675668076.6649272
60.8,1605,3407,1675668076.7148917
60.9,1600,3398,1675668076.764896
60.8,1605,3393,1675668076.8149507
60.7,1611,3391,1675668076.8652558
60.2,1615,3378,1675668076.9144535
59.6,1623,3388,1675668076.9643316
59.3,1618,3372,1675668077.015062
59.0,1628,3366,1675668077.0656097
58.3,1648,3338,1675668077.1150515
56.9,1665,3333,1675668077.1651845
55.8,1663,3330,1675668077.2144532
55.3,1673,3330,1675668077.2651296
54.8,1682,3310,1675668077.3149445
53.7,1702,3287,1675668077.365354
52.1,1726,3276,1675668077.4145176
50.4,1736,3271,1675668077.4651675
49.1,1751,3247,1675668077.5152266
47.5,1772,3218,1675668077.565143
45.7,1803,3207,1675668077.6153574
43.7,1821,3190,1675668077.665023
41.9,1828,3168,1675668077.7159295
40.4,1847,3150,1675668077.76519
38.9,1875,3128,1675668077.8158681
36.8,1902,3086,1675668077.8651302
34.4,1930,3066,1675668077.9149566
30.1,1976,3028,1675668078.0151443
27.8,2007,2986,1675668078.0650232
25.2,2040,2962,1675668078.1150503
22.4,2053,2936,1675668078.1651561
20.5,2072,2926,1675668078.2150872
19.0,2086,2905,1675668078.2652214
17.2,2116,2877,1675668078.315197
15.2,2140,2851,1675668078.3654065
12.7,2162,2831,1675668078.4152098
10.5,2186,2823,1675668078.465092
8.9,2206,2796,1675668078.5150843
7.0,2241,2777,1675668078.5651302
4.7,2258,2731,1675668078.6150436
1.9,2298,2697,1675668078.6651156
-0.8,2331,2676,1675668078.7152548
-3.8,2361,2641,1675668078.765133
-6.5,2393,2593,1675668078.8150594
-9.8,2430,2556,1675668078.8657496
-12.8,2461,2538,1675668078.9153106
-15.5,2491,2511,1675668078.9650762
-18.1,2513,2470,1675668079.015032
-21.0,2553,2430,1675668079.0651193
-24.0,2582,2415,1675668079.1154292
-26.7,2602,2386,1675668079.1644099
-28.7,2620,2368,1675668079.215263
-30.5,2642,2350,1675668079.265019
-32.6,2681,2322,1675668079.314962
-34.9,2693,2290,1675668079.3650293
-37.3,2726,2276,1675668079.4157076
-39.3,2736,2257,1675668079.465992
-40.9,2761,2237,1675668079.5151536
-42.7,2778,2210,1675668079.5650094
-44.7,2805,2183,1675668079.615047
-46.8,2828,2176,1675668079.6652334
-48.4,2825,2158,1675668079.7150702
-49.7,2853,2146,1675668079.7651937
-51.0,2873,2123,1675668079.815153
-52.8,2905,2110,1675668079.8657467
-54.3,2896,2088,1675668079.9155605
-55.6,2912,2082,1675668079.9651415
-56.6,2932,2068,1675668080.0150678
-57.9,2946,2056,1675668080.064406
-58.9,2941,2045,1675668080.115076
-59.7,2938,2038,1675668080.1651387
-60.1,2948,2043,1675668080.2162018
-60.2,2948,2040,1675668080.2645655
-60.5,2956,2023,1675668080.31452
-61.1,2961,2021,1675668080.3652148
-61.6,2966,2025,1675668080.4152422
-61.8,2962,2022,1675668080.5151978
-61.8,2957,2021,1675668080.5651915
-61.8,2962,2021,1675668080.6150787
-61.8,2962,2025,1675668080.6652231
-61.8,2962,2021,1675668080.714874
-61.8,2966,2022,1675668080.7653215
-61.8,2965,2026,1675668080.8150163
-61.8,2963,2020,1675668080.865023
-61.8,2975,2031,1675668080.9154084
-61.8,2971,2028,1675668080.9644656
-61.8,2971,2027,1675668081.0149934
-61.8,2957,2026,1675668081.0652688
-61.4,2958,2052,1675668081.1146536
-60.5,2941,2055,1675668081.1646566
